Rainmm,WindSpeedkmPerH,TemperaturePercentage,CloudCoverPercentage
0,12.3,25.1,5
0,14.3,24.9,8
0,14.2,24.3,22
0,11.3,23.3,30
0,8.5,21.6,82
0,8.5,20.4,100
0,8,28.8,50
0,0.8,28.9,31
1.6,4.8,27.5,54
1.1,9.1,26,42
0.3,6.4,24.3,77
0.5,3.9,23.5,72
0.8,2.8,23,46
0.4,2.2,22.8,38
0,1.5,22.5,26
0,15.7,26.8,61
0.1,16.5,27.9,48
0.2,17.4,28.9,63
0.4,17.6,29,59
0.6,17.9,27.7,65
0.6,17.7,27.1,92
0.2,16.3,26.5,91
0,14.3,26.1,86
0,6.7,18.5,0
0,4.9,16.9,0
0,4.7,16.2,0
0,4.1,16,0
0,2.3,16.3,0
0,2.9,16.1,0
0,3.9,15.9,0
0,1.4,15.7,0
0,0.7,15.5,0
0,1.8,15.2,0
0,2.6,15.2,0
0,2.4,16.7,0
0,1.5,20.5,0
0,0.4,23.2,0
0,6,22.4,0
0,4.7,26.7,0
0,8.3,30.2,0
0,11.9,32.9,0
0,10.8,34.8,0
0,4.5,35.9,10
0,3.7,36.3,21
0,4.7,36.2,23
0,1.5,36.3,21
0,3.3,36.2,22
0,4.1,35.9,11
0,12,32.6,10
0,14.3,30.7,10
0,13.9,28.9,16
0,16,28.1,23
0,16,27.7,22
0,14.8,26.7,22
0.1,32.5,25.6,97
0.4,33.1,25.5,96
0.1,33,25.3,100
0.7,29.5,25,98
0.2,34.3,24.9,76
0.1,34.8,24.9,100
0.2,26.2,24,99
0.1,21.2,23.3,70
0.1,25.2,23.1,100
0,25.5,23,73
0,25.6,23,73
0,24.9,22.9,77
0,25.2,22.9,64
0,24.5,22.7,59
0,25.6,22.5,54
0,24.4,22.5,46
0,19.8,34.2,12
0,20.1,35.8,3
0,21.3,36.5,0
0,21.3,36.4,4
0,20,35.6,17
0,22.1,33.9,21
0,19.8,32.5,20
0,18.4,30.7,2
0,15.4,29.2,6
0,13.7,27.9,22
0,13.7,26.8,62
0,17.9,26.4,43
0,17.4,26.2,76
0,17.4,26.1,100
0,14.8,25.7,100
0,18.6,25.6,100
0.2,19.1,25.3,96
0.1,21.2,25.3,95
0,19,25.4,69
0,20.9,26.3,84
0,21.6,27,51
